Datetime,Close,High,Low,Open
2024-01-02 14:30:00,16551.90234375,16686.603515625,16542.990234375,16673.244140625
2024-01-02 15:30:00,16584.28125,16584.54296875,16513.453125,16549.353515625
2024-01-02 16:30:00,16585.501953125,16610.69921875,16584.26171875,16584.693359375
2024-01-02 17:30:00,16559.2265625,16608.859375,16533.7578125,16585.08984375
2024-01-02 18:30:00,16526.5390625,16565.888671875,16498.630859375,16559.54296875
2024-01-02 19:30:00,16471.232421875,16530.951171875,16453.408203125,16526.119140625
2024-01-02 20:30:00,16545.279296875,16549.833984375,16463.537109375,16471.041015625
2024-01-03 14:30:00,16412.8515625,16470.208984375,16385.88671875,16415.138671875
2024-01-03 15:30:00,16417.81640625,16440.806640625,16376.3203125,16410.017578125
2024-01-03 16:30:00,16404.166015625,16425.71875,16378.6884765625,16418.7734375
2024-01-03 17:30:00,16418.126953125,16441.458984375,16400.931640625,16405.06640625
2024-01-03 18:30:00,16444.427734375,16450.361328125,16366.015625,16417.859375
2024-01-03 19:30:00,16386.330078125,16453.34765625,16377.548828125,16445.6328125
2024-01-03 20:30:00,16367.3486328125,16408.037109375,16353.34765625,16386.564453125
2024-01-04 14:30:00,16347.302734375,16369.5205078125,16289.3154296875,16290.736328125
2024-01-04 15:30:00,16405.185546875,16419.140625,16344.5341796875,16346.83203125
2024-01-04 16:30:00,16362.9658203125,16411.55078125,16346.7412109375,16405.482421875
2024-01-04 17:30:00,16355.6123046875,16363.6748046875,16327.28125,16362.8984375
2024-01-04 18:30:00,16321.33984375,16366.525390625,16321.27734375,16356.251953125
2024-01-04 19:30:00,16325.7119140625,16348.5576171875,16309.109375,16320.0048828125
2024-01-04 20:30:00,16285.38671875,16337.5146484375,16277.0927734375,16325.037109375
2024-01-05 14:30:00,16380.9619140625,16395.66015625,16288.22265625,16288.22265625
2024-01-05 15:30:00,16365.255859375,16415.392578125,16364.0615234375,16382.7822265625
2024-01-05 16:30:00,16300.0263671875,16372.4169921875,16297.8046875,16366.330078125
2024-01-05 17:30:00,16311.9931640625,16323.048828125,16277.5869140625,16299.4599609375
2024-01-05 18:30:00,16321.2734375,16348.4140625,16312.8623046875,16312.8623046875
2024-01-05 19:30:00,16262.5732421875,16329.36328125,16249.5380859375,16320.6123046875
2024-01-05 20:30:00,16303.3359375,16312.7314453125,16249.525390625,16262.05078125
2024-01-08 14:30:00,16481.572265625,16486.884765625,16349.8271484375,16354.2236328125
2024-01-08 15:30:00,16490.857421875,16512.064453125,16485.658203125,16485.853515625
2024-01-08 16:30:00,16525.9453125,16535.96875,16490.96875,16490.96875
2024-01-08 17:30:00,16555.626953125,16562.349609375,16524.4375,16526.0625
2024-01-08 18:30:00,16597.150390625,16597.67578125,16555.1875,16555.853515625
2024-01-08 19:30:00,16620.90625,16634.634765625,16598.33203125,16598.33203125
2024-01-08 20:30:00,16645.5859375,16655.025390625,16618.306640625,16621.400390625
2024-01-09 14:30:00,16573.236328125,16594.408203125,16513.86328125,16532.3828125
2024-01-09 15:30:00,16627.138671875,16630.439453125,16564.041015625,16575.1171875
2024-01-09 16:30:00,16673.4609375,16682.03515625,16623.369140625,16628.1484375
2024-01-09 17:30:00,16676.8359375,16710.83984375,16662.80078125,16673.81640625
2024-01-09 18:30:00,16661.5234375,16699.326171875,16648.328125,16675.72265625
2024-01-09 19:30:00,16669.57421875,16683.712890625,16650.11328125,16661.22265625
2024-01-09 20:30:00,16676.6328125,16683.400390625,16629.884765625,16670.654296875
2024-01-10 14:30:00,16708.478515625,16726.259765625,16654.740234375,16701.654296875
2024-01-10 15:30:00,16716.494140625,16745.001953125,16705.416015625,16708.70703125
